state,key,value
-,muzaffarnagar,131
-,muzaffarpur,621
-,mysore,821
-,nabarangapur,6858
-,nadia,3472
-,nagaon,3672
-,nagapattinam,4365
-,nagaur,1582:1582
-,nagpur,712
-,nainital,5942
-,nalanda,6112
-,nalbari,3624
-,nalgonda,8682
-,namakkal,4286
-,nanded,2462
-,nandurbar,2564
-,narayanpur,7781
-,narmada,2640
-,narsinghpur,7792
-,nashik,253
-,navgachia,6421
-,navsari,2637
-,nawada,6324
-,nawanshahr,1823
-,nayagarh,6753
-,neemuch,7423
-,nellore,861
-,new delhi,11
-,nizamabad,8463
-,north 24 parganas,33
-,north cachar hills,3673
-,north delhi,11
-,north dinajpur(uttar),3525
-,north east delhi,11
-,north goa,832
-,north tripura,3824
-,north west delhi,11
-,nuapada,6678
-,osmanabad,2472
-,pakur,6435
-,palakkad,471
-,palamu,6562
-,palghar,2525
-,pali,2932
-,palwal,1275
-,panch mahals,2672
-,panchkula,172
-,panipat,180
-,panna,7732
-,papum pare,360
-,parbhani,2452
-,patan,2766
-,pathanamthitta,468
-,patiala,175
-,patna,612
-,pauri garhwal,1368
-,perambalur,4328
-,peren,3839
-,phek,3865
-,pilibhit,5882
-,pithoragarh,5964
-,pondicherry,413
-,poonch,1965
-,porbandar,286
-,prakasam,8592
-,pratapgarh,1478:5342
-,prayagraj,532
-,pudukottai,4322
-,pulwama,1933
-,pune,20
-,puri,6752
-,purnea,6454
-,purulia,3252
-,raebareli,535
-,raichur,8532
-,raigarh,7762:2141
-,raipur,771
-,raisen,7482
-,rajgarh,7372
-,rajkot,281
-,rajnandgaon,7744
-,rajouri,1962
-,rajsamand,2952
-,ramanathapuram,4567
-,ramban,1998
-,rampur,595
-,ranchi,651
-,rangareddi,40
-,ratlam,7412
-,ratnagiri,2352
-,rayagada,6856
-,reasi,1991
-,rewa,7662
-,rewari,1274
-,ri bhoi,3638
-,rohtak,1262
-,rohtas (sasaram),6184
-,rudraprayag,1364
-,rupnagar,1881
-,sabar kantha,2772
-,sagar,7582
-,saharanpur,132
-,saharsa,6478
-,sahibganj,6436
-,saiha,3835
-,salem,427
-,samastipur,6274
-,samba,1923
-,sambalpur,663
-,sangli,233
-,sangrur,1672
-,sant kabir nagar,5547
-,sant ravidas nagar,5414
-,saran (chapra),6152
-,sas nagar,172
-,satara,2162
-,satna,7672
-,sawai madhopur,7462
-,sehore,7562
-,senapati,3871
-,seoni,7692
-,seraikela,6597
-,serchhip,3838
-,shahdol,7652
-,shahjahanpur,5842
-,shajapur,7364
-,sheikhpura,6341
-,sheohar,6222
-,sheopur,7530
-,shimla,177
-,shimoga,8182
-,shivpuri,7492
-,shravasti,5250
-,siddharthnagar,5544
-,sidhi,7622
-,sikar,1572
-,simdega,6525
-,sindhudurg,2363
-,singrauli,7805
-,sirmaur,1702
-,sirohi,2972
-,sirsa,1666
-,sitamarhi,6226
-,sitapur,5862
-,sivaganga,4575
-,sivasagar,3772
-,siwan,6154
-,solan,1792
-,solapur,217
-,sonbhadra,5444
-,sonipat,130
-,sonitpur,3712
-,south 24 parganas,33
-,south delhi,11
-,south dinajpur (dakshin),3522
-,south garo hills,3639
-,south goa,832
-,south tripura,3821
-,south west delhi,11
-,sri ganganagar,154
-,srikakulam,8942
-,srinagar,194
-,subarnapur,6654
-,sultanpur,5362
-,sundergarh,6622
-,supaul,6473
-,surat,261
-,surendranagar,2752
-,surguja,7774
-,tamenglong,3877
-,tapi,2792
-,tarn taran,1852
-,tawang,3794
-,tehri garhwal,1376
-,thane,22
-,thanjavur,4362
-,the nilgiris,423
-,theni,4546
-,thiruvananthapuram,471
-,thiruvarur,4366
-,thoothukudi,461
-,thouba,3848
-,thrissur,487
-,tikamgarh,7683
-,tinsukia,374
-,tirap,3786
-,tiruchirappalli,431
-,tirunelveli,462
-,tiruppur,421
-,tiruvallur,44
-,tiruvannamalai,4175
-,tonk,1432:1432
-,tuensang,3861
-,tumkur,816
-,udaipur,294
-,udalguri,3711
-,udham singh nagar,5944
-,udhampur,1992
-,udupi,8252
-,ujjain,734
-,ukhrul,3870
-,umaria,7653
-,una,1975
-,unnao,515
-,upper siang,3777
-,upper subansiri,3792
-,uttar kannada,8382
-,uttarkashi,1374
-,vadodara,265
-,vaishali (hajipur),6224
-,valsad,2632
-,varanasi,542
-,vellore,416
-,vidisha,7592
-,villupuram,4146
-,virudhunagar,4562
-,visakhapatnam,891
-,vizianagaram,8922
-,warangal,8712
-,wardha,7152
-,washim,7252
-,wayanad,4936
-,west champaran (bettiah),6254
-,west delhi,11
-,west garo hills,3651
-,west godavari,8812
-,west kameng,3782
-,west khasi hills,3654
-,west medinipur (paschim),3222
-,west siang,3783
-,west singhbhum,6582
-,west tripura,3825
-,wokha,3860
-,yamunanagar,1732
-,yanam,884
-,yavatmal,7232
-,ysr district,8562
-,zunheboto,3867
AN,andaman islands,3192
AN,nicobar islands,3193
AP,achampet,8541
AP,adilabad,8732
AP,adoni,8512
AP,alampur,8502
AP,allagadda,8519
AP,alur,8523
AP,amalapuram,8856
AP,amangallu,8545
AP,anakapalle,8924
AP,anantapur,8554
AP,andole (jogipet),8450
AP,araku,8936
AP,armoor,8463
AP,asifabad,8733
AP,aswaraopet,8740
AP,atmakur,8517:8504:8627
AP,b.kothakota,8582
AP,badvel,8569
AP,banaganapalle,8515
AP,bandar (machilipatnam),8672
AP,bangarupalem,8573
AP,banswada,8466
AP,bapatla,8643
AP,bellampalli,8735
AP,bhadrachalam,8743
AP,bhainsa,8752
AP,bheemunipatnam,8933
AP,bhimadole,8829
AP,bhimavaram,8816
AP,bhongir,8685
AP,bhooragamphad (manuguru),8746
AP,boath (echoda),8751
AP,bobbili,8944
AP,bodhan,8467
AP,chandoor,8681
AP,chavitidibbalu,8863
AP,chejerla,8628
AP,chepurupalli (garividi),8952
AP,cherial,8710
AP,chevella,8417
AP,chinnor,8737
AP,chintalapudi,8823
AP,chintapalle,8937
AP,chirala,8594
AP,chittoor,8572
AP,chodavaram,8934
AP,cuddapah,8562
AP,cumbum,8406
AP,darsi,8407
AP,devarakonda,8691
AP,dharmavaram,8559
AP,dichpalli,8461
AP,divi (challapalli),8671
AP,donakonda,8408
AP,dronachalam,8516
AP,eluru,8812
AP,eturnagaram,8717
AP,gadwal,8546
AP,gajapathinagaram,8965
AP,gajwel,8454
AP,garladinne,8551
AP,giddalur,8405
AP,gooty (guntakal),8552
AP,gudivada,8674
AP,gudur,8624
AP,gudur (kodumur),8525
AP,guntur,863
AP,hazurnagar,8683
AP,hindupur,8556
AP,husnabad,8721
AP,huzurabad,8727
AP,hyderabad loc,40
AP,hyderabadeast (ghatkeswar),8415
AP,"hyderabadwest 
(shamshabad)",8413
AP,ibrahimpatnam,8414
AP,jaggayyapet,8654
AP,jagtial,8724
AP,jammalamadugu,8560
AP,jangaon,8716
AP,jangareddygudem,8821
AP,jannaram (luxittipet),8739
AP,kadiri,8494
AP,kaikaluru,8677
AP,kakinada,884
AP,kalwakurthy,8549
AP,kalyandurg,8497
AP,"kamalapuram 
(yerraguntala)",8563
AP,kamareddy,8468
AP,kambadur,8492
AP,kanaganapalle,8491
AP,kandukuru,8598
AP,kanigiri,8402
AP,karimnagar,878
AP,kavali,8626
AP,khammam,8742
AP,khanapur (ap),8730
AP,kodangal,8505
AP,koduru,8566
AP,koilkuntla,8510
AP,kollapur,8501
AP,kothagudem,8744
AP,kovvur,8622
AP,kovvur (nidadavolu),8813
AP,krosuru,8640
AP,kuppam,8570
AP,kurnool,8518
AP,lakkireddipalli,8567
AP,madakasira,8493
AP,madanapalli,8571
AP,madhira,8749
AP,madnur,8464
AP,mahabubbad,8719
AP,mahabubnagar,8542
AP,mahadevapur,8720
AP,makthal,8503
AP,mancherial,8736
AP,"mandapeta 
(ravulapalem)",8855
AP,mangalagiri,8645
AP,manthani,8729
AP,markapur,8596
AP,marturu,8404
AP,medak,8452
AP,medarmetla,8593
AP,medchal,8418
AP,metpalli,8725
AP,miryalguda,8689
AP,mulug,8715
AP,mylavaram,8659
AP,nagarkurnool,8540
AP,nalgonda,8682
AP,"nallacheruvu 
(tanakallu)",8498
AP,nampalle,8692
AP,nandigama,8678
AP,nandikotkur,8513
AP,nandyal,8514
AP,narasampet,8718
AP,narayankhed,8456
AP,narayanpet,8506
AP,narsapur,8458
AP,narsapur (palakole),8814
AP,narsaraopet,8647
AP,narsipatnam,8932
AP,nellore,861
AP,nidamanur (hillcolony),8680
AP,nirmal,8734
AP,nizamabad,8462
AP,nuguru (cherla),8747
AP,nuzvidu,8656
AP,ongole,8592
AP,outsarangapalle,8753
AP,paderu,8935
AP,pakala,8585
AP,palakonda (rajam),8941
AP,palmaneru,8579
AP,palnad (macherala),8642
AP,pamuru,8490
AP,pargi,8412
AP,parkal,8713
AP,parvathipuram,8963
AP,pathapatnam (hiramandalam),8946
AP,pattikonda,8520
AP,peapalle,8522
AP,peddapalli,8728
AP,peddapuram,8852
AP,penukonda,8557
AP,piduguralla,8649
AP,piler,8584
AP,pithapuram,8869
AP,podili,8499
AP,polavaram,8811
AP,proddatur,8564
AP,pulivendla,8568
AP,punganur,8581
AP,putturu,8577
AP,rajahmundri,883
AP,rajampeta,8565
AP,ramachandrapuram,8857
AP,ramannapet,8694
AP,rampachodavaram,8864
AP,rapur (podalakur),8621
AP,rayachoti,8561
AP,rayadurg,8495
AP,razole,8862
AP,repalle,8648
AP,saluru,8964
AP,sangareddy,8455
AP,sathupalli,8761
AP,sattenapalli,8641
AP,satyavedu,8576
AP,shadnagar,8548
AP,siddavattam,8589
AP,siddipet,8457
AP,sileru,8938
AP,sircilla,8723
AP,sirpurkagaznagar,8738
AP,sodam,8583
AP,sompeta,8947
AP,srikakulam,8942
AP,srikalahasthi,8578
AP,srisailam,8524
AP,"srungavarapukota 
(kothvls)",8966
AP,sudhimalla (tekulapalli),8741
AP,sullurpet,8623
AP,suryapet,8684
AP,tadepalligudem,8818
AP,tadipatri,8558
AP,tanduru,8411
AP,tanuku,8819
AP,tekkali (palasa),8945
AP,tenali,8644
AP,thungaturthy,8693
AP,tirivuru,8673
AP,tirupathi,877
AP,tuni,8854
AP,udaygiri,8620
AP,ulvapadu,8599
AP,uravakonda,8496
AP,utnor,8731
AP,v.r.puram,8748
AP,vaimpalli,8588
AP,vayalpad,8586
AP,venkatgiri,8625
AP,venkatgirikota,8587
AP,vijayawada,866
AP,vikrabad,8416
AP,vinjamuru,8629
AP,vinukonda,8646
AP,visakhapatnam,891
AP,vizayanagaram,8922
AP,vuyyuru,8676
AP,wanaparthy,8543
AP,warangal,870
AP,wardhannapet (ghanapur),8711
AP,yelamanchili,8931
AP,yelavaram,8865
AP,yeleswaram,8868
AP,yellandu,8745
AP,yellanuru,8550
AP,yellareddy,8465
AP,yerragondapalem,8403
AP,zahirabad,8451
AS,abhayapuri,3669
AS,baithalangshu,3677
AS,barama,3623
AS,barpeta road,3666
AS,bihupuria,3759
AS,bijni,3668
AS,bilasipara,3667
AS,bokajan,3675
AS,bokakhat,3776
AS,boko,3621
AS,dhakuakhana,3758
AS,dhemaji,3753
AS,dhubri,3662
AS,dibrugarh,373
AS,digboi,3751
AS,diphu,3671
AS,goalpara,3663
AS,gohpur,3715
AS,golaghat,3774
AS,guwahati,361
AS,haflong,3673
AS,hailakandi,3844
AS,hajo,3664
AS,hojai,3674
AS,howraghat,3676
AS,jorhat,376
AS,karimganj,3843
AS,kokrajhar,3661
AS,maibong,3670
AS,majuli,3775
AS,mangaldoi,3713
AS,mariani,3771
AS,moranhat,3754
AS,morigaon,3678
AS,nagaon,3672
AS,nalbari,3624
AS,north lakhimpur,3752
AS,rangapara,3714
AS,sadiya,3756
AS,sibsagar,3772
AS,silchar,3842
AS,tarabarihat,3665
AS,tezpur,3712
AS,tinsukhia,374
AS,udalguri,3711
AS,vdarbondh,3841
BR,adhaura,6180
BR,amarpur,6420
BR,araria,6453
BR,areraj,6258
BR,arrah,6182
BR,arwal,6337
BR,aurangabad,6186
BR,bagaha,6251
BR,bagodar,6557
BR,baharagora,6594
BR,balumath,6568
BR,banka,6424
BR,banmankhi,6467
BR,barachakia,6257
BR,barauni,6279
BR,barh,6132
BR,barhi,6543
BR,barkagaon,6551
BR,barsoi,6451
BR,barwadih,6567
BR,basia,6533
BR,begusarai,6243
BR,benipatti,6271
BR,benipur,6242
BR,bermo,6549
BR,bettiah,6254
BR,bhabhua,6189
BR,bhagalpur,641
BR,bhandaria,6581
BR,bhawanathpur,6563
BR,bidupur,6229
BR,biharsharif,6112
BR,bikram,6135
BR,bikramganj,6185
BR,birpur,6471
BR,bishrampur,6584
BR,bokaro,6542
BR,bolwa,6539
BR,bundu,6530
BR,buxar,6183
BR,chaibasa,6582
BR,chainpur,6586:6535
BR,chakai,6347
BR,chakardharpur,6587
BR,chandil,6591
BR,chapra,6152
BR,chatra,6541
BR,chavparan,6547
BR,dalsinghsarai,6278
BR,daltonganj,6562
BR,danapur,6115
BR,darbhanga,6272
BR,daudnagar,6328
BR,deoghar,6432
BR,dhaka,6250
BR,dhamdaha,6462
BR,dhanbad,326
BR,dumka,6434
BR,dumraon,6323
BR,dumri(isribazar),6558
BR,ekma,6155
BR,forbesganj,6455
BR,garhwa,6561
BR,garu,6569
BR,gaya,631
BR,ghaghra,6523
BR,ghatsila,6585
BR,giridih,6532
BR,godda,6422
BR,gogri,6245
BR,gomia,6544
BR,gopalganj,6156
BR,govindpur,6540
BR,gumla,6524
BR,h.kharagpur,6342
BR,hajipur,6224
BR,hathua,6150
BR,hazaribagh,6546
BR,hilsa,6111
BR,hunterganj,6550
BR,ichak,6548
BR,imamganj,6331
BR,itki,6529
BR,jagarnathpur,6588
BR,jahanabad,6114
BR,jainagar,6246
BR,jamshedpur,657
BR,jamtara,6433
BR,jamui,6345
BR,japla,6566
BR,jhajha,6349
BR,jhajharpur,6273
BR,jharmundi,6431
BR,jhinkpani,6589
BR,jhumaritalaiya,6534
BR,kahalgaon,6429
BR,kathikund,6427
BR,katihar,6452
BR,katoria,6425
BR,khagaria,6244
BR,kharsawa,6583
BR,khunti,6528
BR,kishanganj,6466
BR,kolebira,6527
BR,korha,6457
BR,lakhisarai,6346
BR,latehar,6565
BR,lohardaga,6526
BR,madhepura,6476
BR,madhubani,6276
BR,madhupur,6438
BR,mahagama,6437
BR,maharajganj,6153
BR,maheshpur raj,6423
BR,mahua,6227
BR,mairwa,6157
BR,mallehpur,6348
BR,mandar,6531
BR,mandu,6545
BR,manoharpur,6593
BR,masrakh,6159
BR,mohania,6187
BR,monghyr,6344
BR,motihari,6252
BR,motipur,6223
BR,muri,6522
BR,muzaffarpur,621
BR,nabinagar,6332
BR,nagarutari,6564
BR,nala,6428
BR,narkatiaganj,6253
BR,naugachia,6421
BR,nawada,6324
BR,noamundi,6596
BR,pakribarwan,6325
BR,pakridayal,6259
BR,pakur,6435
BR,palkot,6536
BR,patan,6560
BR,patna,612
BR,phulparas,6277
BR,piro,6181
BR,pupri,6228
BR,purnea,6454
BR,rafiganj,6327
BR,rajauli,6336
BR,rajdhanwar,6554
BR,rajmahal,6426
BR,ramgarh,6553
BR,ramnagar,6256
BR,ranchi,651
BR,raniganj,6461
BR,raxaul,6255
BR,rohtas,6188
BR,rosera,6275
BR,s.bakhtiarpur,6475
BR,saharsa,6478
BR,sahibganj,6436
BR,samastipur,6274
BR,saraikela (adstyapur),6597
BR,sasaram,6184
BR,seikhpura,6341
BR,sheohar,6222
BR,sherghati,6326
BR,sidhawalia,6151
BR,simaria,6559
BR,simdega,6525
BR,singhwara,6247
BR,sitamarhi,6226
BR,siwan,6154
BR,sonepur,6158
BR,supaul,6473
BR,thakurganj,6459
BR,tisri,6556
BR,torpa,6538
BR,triveniganj,6477
BR,udakishanganj,6479
BR,wazirganj,6322
BY,mumbai,22
BY,navi mumbai (turbhe),215
GJ,ahemdabad local,79
GJ,ahwa,2631
GJ,amod,2641
GJ,amreli,2792
GJ,anand,2692
GJ,anjar (gandhidham),2836
GJ,ankleshwar,2646
GJ,babra,2791
GJ,balasinor,2690
GJ,bansada,2630
GJ,bardoli,2622
GJ,bareja,2718
GJ,barwala,2711
GJ,bayad,2779
GJ,bhachav,2837
GJ,bhanvad,2896
GJ,bharuch,2642
GJ,bhavnagar,278
GJ,bhiloda,2771
GJ,bhuj,2832
GJ,billimora,2634
GJ,borsad,2696
GJ,botad,2849
GJ,chanasma,2734
GJ,chhota udaipur,2669
GJ,chotila,2751
GJ,dabhoi,2663
GJ,dahod,2673
GJ,damnagar,2793
GJ,danta,2749
GJ,dasada,2757
GJ,dediapada,2649
GJ,deesa,2744
GJ,dehgam,2716
GJ,deodar,2735
GJ,devgadhbaria,2678
GJ,dhandhuka,2713
GJ,dhanera,2748
GJ,dharampur,2633
GJ,dhari,2797
GJ,dholka,2714
GJ,dhoraji,2824
GJ,dhrangadhra,2754
GJ,dhrol,2897
GJ,fortsongadh,2624
GJ,gadhada,2847
GJ,gandhi nagar,2712
GJ,gariadhar,2843
GJ,godhra,2672
GJ,gogodar,2806
GJ,gondal,2825
GJ,halol,2676
GJ,halvad,2758
GJ,harij,2733
GJ,himatnagar,2772
GJ,idar,2778
GJ,jambusar,2644
GJ,jamjodhpur,2898
GJ,jamkalyanpur,2891
GJ,jamnagar,288
GJ,jasdan,2821
GJ,jetpur,2823
GJ,jhagadia,2645
GJ,jhalod,2679
GJ,jodia,2893
GJ,junagarh,285
GJ,kalawad,2894
GJ,kalol,2764
GJ,kapad wanj,2691
GJ,keshod,2871
GJ,khambat,2698
GJ,khambhalia,2833
GJ,khavda,2803
GJ,kheda,2694
GJ,khedbrahma,2775
GJ,kheralu,2761
GJ,kodinar,2795
GJ,kotdasanghani,2827
GJ,kunkawav,2796
GJ,kutchmandvi,2834
GJ,kutiyana,2804
GJ,lakhpat,2839
GJ,lakhtar,2759
GJ,lalpur,2895
GJ,limbdi,2753
GJ,limkheda,2677
GJ,lunavada,2674
GJ,m.m.mangrol,2629
GJ,mahuva,2844
GJ,malia-hatina,2870
GJ,maliya miyana,2829
GJ,malpur,2773
GJ,manavadar,2874
GJ,mandvi,2623
GJ,mangrol,2878
GJ,mehsana,2762
GJ,miyagam,2666
GJ,modasa,2774
GJ,morvi,2822
GJ,muli,2756
GJ,mundra,2838
GJ,nadiad,268
GJ,nakhatrana,2835
GJ,nalia,2831
GJ,naswadi,2661
GJ,navsari,2637
GJ,nizar,2628
GJ,okha,2892
GJ,paddhari,2820
GJ,padra,2662
GJ,palanpur,2742
GJ,palitana,2848
GJ,patan,2766
GJ,pavijetpur,2664
GJ,porbander,286
GJ,prantij,2770
GJ,radhanpur,2746
GJ,rahpar,2830
GJ,rajkot,281
GJ,rajpipla,2640
GJ,rajula,2794
GJ,ranavav,2801
GJ,retlad,2697
GJ,sanand,2717
GJ,sankheda,2665
GJ,santalpur,2738
GJ,santrampur,2675
GJ,savarkundla,2845
GJ,savli,2667
GJ,sayan,2621
GJ,sayla,2755
GJ,shehra,2670
GJ,sidhpur,2767
GJ,sihor,2846
GJ,sumrasar,2808
GJ,surat,261
GJ,surendranagar,2752
GJ,talaja,2842
GJ,talala,2877
GJ,thara,2747
GJ,tharad,2737
GJ,thasra,2699
GJ,una-diu,2875
GJ,upleta,2826
GJ,vadgam,2739
GJ,vadodara,265
GJ,valia,2643
GJ,vallabhipur,2841
GJ,valod,2625
GJ,valsad,2632
GJ,vanthali,2872
GJ,vapi,260
GJ,vav,2740
GJ,veraval,2876
GJ,vijapur,2763
GJ,viramgam,2715
GJ,visavadar,2873
GJ,visnagar,2765
GJ,vyara,2626
GJ,waghodia,2668
GJ,wankaner,2828
HA,adampur mandi,1669
HA,ambala,171
HA,assandh,1749
HA,bahadurgarh,1276
HA,barara,1731
HA,barwala,1693
HA,bawal,1284
HA,bawanikhera,1254
HA,bhiwani,1664
HA,chaaharauli,1735
HA,charkhidadri,1250
HA,cheeka,1743
HA,dabwali,1668
HA,ellenabad,1698
HA,faridabad,129
HA,fatehabad,1667
HA,ferojpur,1268
HA,gharaunda,1748
HA,gohana,1263
HA,gurgaon,124
HA,hansi,1663
HA,hissar,1662
HA,jagadhari,1732
HA,jatusana,1281
HA,jhajjar,1251
HA,jind,1681
HA,julana,1683
HA,kaithal,1746
